Label,Precision,Recall,F1,Support,Optimised Threshold
admiration,0.09205607476635513,0.8073770491803278,0.16526845637583892,488,0.53
amusement,0.056093924711144244,0.9933993399339934,0.10619156817780914,303,0.44
anger,0.03481510621557828,0.9076923076923077,0.06705815495358969,195,0.47000000000000003
annoyance,0.056718845293758896,0.9207920792079208,0.1068556108770586,303,0.49
approval,0.07340129749768304,0.9974811083123426,0.13674033149171272,397,0.44
caring,0.02821869488536155,0.9411764705882353,0.0547945205479452,153,0.47000000000000003
confusion,0.02809092589170209,1.0,0.05464677332374618,152,0.45
curiosity,0.045328582739509106,0.9233870967741935,0.08641509433962265,248,0.51
desire,0.014213577707125492,0.987012987012987,0.028023598820058997,77,0.44
disappointment,0.030145143282471157,0.9938650306748467,0.058515441574860036,163,0.43
disapproval,0.0,0.0,0.0,292,0.8
disgust_group,0.05025996533795494,0.2230769230769231,0.08203677510608204,130,0.67
joy_group,0.051431344007763224,0.4140625,0.09149762624082866,256,0.29000000000000004
fear_group,0.03076923076923077,0.13333333333333333,0.05,105,0.6900000000000001
gratitude,0.16470588235294117,0.03910614525139665,0.06320541760722348,358,0.2
sadness_group,0.029818496110630942,0.45098039215686275,0.05593838670449939,153,0.28
love,0.03125,0.003968253968253968,0.007042253521126761,252,0.33
optimism,0.043668122270742356,0.04784688995215311,0.045662100456621,209,0.16
pride,0.0,0.0,0.0,15,0.09
realization_group,0.05172413793103448,0.047244094488188976,0.04938271604938271,254,0.76
remorse_group,0.01664895501239816,0.5465116279069767,0.03231350979718116,86,0.2
neutral,0.1,0.0005662514156285391,0.0011261261261261261,1766,0.63
